Label,Class
Seq1,crystallizable
Seq2,crystallizable
Seq3,crystallizable
Seq4,crystallizable
Seq5,crystallizable
Seq6,crystallizable
Seq7,crystallizable
Seq8,crystallizable
Seq9,crystallizable
Seq10,crystallizable
Seq11,crystallizable
Seq12,crystallizable
Seq13,crystallizable
Seq14,crystallizable
Seq15,crystallizable
Seq16,crystallizable
Seq17,crystallizable
Seq18,crystallizable
Seq19,crystallizable
Seq20,crystallizable
Seq21,crystallizable
Seq22,crystallizable
Seq23,crystallizable
Seq24,crystallizable
Seq25,crystallizable
Seq26,crystallizable
Seq27,crystallizable
Seq28,crystallizable
Seq29,crystallizable
Seq30,crystallizable
Seq31,crystallizable
Seq32,crystallizable
Seq33,crystallizable
Seq34,crystallizable
Seq35,crystallizable
Seq36,crystallizable
Seq37,crystallizable
Seq38,crystallizable
Seq39,crystallizable
Seq40,crystallizable
Seq41,crystallizable
Seq42,crystallizable
Seq43,crystallizable
Seq44,crystallizable
Seq45,crystallizable
Seq46,crystallizable
Seq47,crystallizable
Seq48,crystallizable
Seq49,crystallizable
Seq50,crystallizable
Seq51,crystallizable
Seq52,crystallizable
Seq53,crystallizable
Seq54,crystallizable
Seq55,crystallizable
Seq56,crystallizable
Seq57,crystallizable
Seq58,crystallizable
Seq59,crystallizable
Seq60,crystallizable
Seq61,crystallizable
Seq62,crystallizable
Seq63,crystallizable
Seq64,crystallizable
Seq65,crystallizable
Seq66,crystallizable
Seq67,crystallizable
Seq68,crystallizable
Seq69,crystallizable
Seq70,crystallizable
Seq71,crystallizable
Seq72,crystallizable
Seq73,crystallizable
Seq74,crystallizable
Seq75,crystallizable
Seq76,crystallizable
Seq77,crystallizable
Seq78,crystallizable
Seq79,crystallizable
Seq80,crystallizable
Seq81,crystallizable
Seq82,crystallizable
Seq83,crystallizable
Seq84,crystallizable
Seq85,crystallizable
Seq86,crystallizable
Seq87,crystallizable
Seq88,crystallizable
Seq89,crystallizable
Seq90,crystallizable
Seq91,crystallizable
Seq92,crystallizable
Seq93,crystallizable
Seq94,crystallizable
Seq95,crystallizable
Seq96,crystallizable
Seq97,crystallizable
Seq98,crystallizable
Seq99,crystallizable
Seq100,crystallizable
Seq101,crystallizable
Seq102,crystallizable
Seq103,crystallizable
Seq104,crystallizable
Seq105,crystallizable
Seq106,crystallizable
Seq107,crystallizable
Seq108,crystallizable
Seq109,crystallizable
Seq110,crystallizable
Seq111,crystallizable
Seq112,crystallizable
Seq113,crystallizable
Seq114,crystallizable
Seq115,crystallizable
Seq116,crystallizable
Seq117,crystallizable
Seq118,crystallizable
Seq119,crystallizable
Seq120,crystallizable
Seq121,crystallizable
Seq122,crystallizable
Seq123,crystallizable
Seq124,crystallizable
Seq125,crystallizable
Seq126,crystallizable
Seq127,crystallizable
Seq128,crystallizable
Seq129,crystallizable
Seq130,crystallizable
Seq131,crystallizable
